id,label,size
AR USA,AR USA,2
AZ USA,AZ USA,4
Australia,Australia,19
Austria,Austria,5
Belgium,Belgium,11
CA USA,CA USA,5
CO USA,CO USA,4
CT USA,CT USA,2
Canada,Canada,13
DC USA,DC USA,2
Denmark,Denmark,11
England,England,47
FL USA,FL USA,2
Finland,Finland,17
France,France,18
GA USA,GA USA,7
Germany,Germany,23
IA USA,IA USA,3
IL USA,IL USA,4
IN USA,IN USA,9
Ireland,Ireland,2
Israel,Israel,3
Italy,Italy,19
Japan,Japan,4
MA USA,MA USA,7
MD USA,MD USA,2
MI USA,MI USA,5
MN USA,MN USA,5
MO USA,MO USA,3
NC USA,NC USA,6
NH USA,NH USA,3
NONE,NONE,5
NY USA,NY USA,9
Netherlands,Netherlands,21
New Zealand,New Zealand,3
North Ireland,North Ireland,3
Norway,Norway,9
OH USA,OH USA,7
PA USA,PA USA,7
Peoples R China,Peoples R China,23
Poland,Poland,2
Portugal,Portugal,4
RI USA,RI USA,2
Russia,Russia,5
Scotland,Scotland,4
Singapore,Singapore,2
Slovenia,Slovenia,3
South Korea,South Korea,13
Spain,Spain,49
Sweden,Sweden,7
Switzerland,Switzerland,9
TX USA,TX USA,8
Taiwan,Taiwan,23
Thailand,Thailand,2
VA USA,VA USA,5
WI USA,WI USA,3
